"county_fips","county","state","year","name","population","unisured population","uninsured rate"
4013,"Maricopa","AZ",2017,"Maricopa County, AZ","3,611,511","436,313","12.1"
4013,"Maricopa","AZ",2011,"Maricopa County, AZ","3,341,091","656,392","19.6"
4013,"Maricopa","AZ",2008,"Maricopa County, AZ","3,464,506","702,207","20.3"
4013,"Maricopa","AZ",2009,"Maricopa County, AZ","3,533,669","714,802","20.2"
4013,"Maricopa","AZ",2007,"Maricopa County, AZ","3,449,790","742,617","21.5"
4013,"Maricopa","AZ",2019,"Maricopa County, AZ","3,726,619","493,829","13.3"
4013,"Maricopa","AZ",2016,"Maricopa County, AZ","3,563,902","418,740","11.7"
4013,"Maricopa","AZ",2013,"Maricopa County, AZ","3,414,391","675,336","19.8"
4013,"Maricopa","AZ",2012,"Maricopa County, AZ","3,377,155","675,337","20.0"
4013,"Maricopa","AZ",2010,"Maricopa County, AZ","3,311,446","634,846","19.2"
4013,"Maricopa","AZ",2006,"Maricopa County, AZ","3,421,858","766,068","22.4"
4013,"Maricopa","AZ",2014,"Maricopa County, AZ","3,461,991","539,347","15.6"
4013,"Maricopa","AZ",2020,"Maricopa County, AZ","3,801,789","506,323","13.3"
4015,"Mohave","AZ",2007,"Mohave County, AZ","152,451","29,347","19.2"
4015,"Mohave","AZ",2017,"Mohave County, AZ","141,009","18,843","13.4"
4015,"Mohave","AZ",2019,"Mohave County, AZ","140,921","19,205","13.6"
4015,"Mohave","AZ",2010,"Mohave County, AZ","151,015","30,734","20.4"
4015,"Mohave","AZ",2013,"Mohave County, AZ","146,231","32,346","22.1"
4015,"Mohave","AZ",2015,"Mohave County, AZ","143,353","20,035","14.0"
4015,"Mohave","AZ",2020,"Mohave County, AZ","143,045","20,698","14.5"
4015,"Mohave","AZ",2014,"Mohave County, AZ","144,185","28,091","19.5"
4015,"Mohave","AZ",2006,"Mohave County, AZ","153,597","33,309","21.7"
4015,"Mohave","AZ",2016,"Mohave County, AZ","141,841","17,171","12.1"
4015,"Mohave","AZ",2009,"Mohave County, AZ","148,334","29,367","19.8"
4015,"Mohave","AZ",2012,"Mohave County, AZ","148,626","34,335","23.1"
4015,"Mohave","AZ",2018,"Mohave County, AZ","141,096","18,119","12.8"
4015,"Mohave","AZ",2011,"Mohave County, AZ","151,429","30,454","20.1"
4015,"Mohave","AZ",2008,"Mohave County, AZ","150,421","32,763","21.8"
4019,"Pima","AZ",2009,"Pima County, AZ","848,590","154,058","18.2"
4019,"Pima","AZ",2010,"Pima County, AZ","810,129","147,455","18.2"
4019,"Pima","AZ",2006,"Pima County, AZ","810,291","173,543","21.4"
4019,"Pima","AZ",2019,"Pima County, AZ","811,390","107,748","13.3"
4019,"Pima","AZ",2020,"Pima County, AZ","818,810","99,835","12.2"
4019,"Pima","AZ",2008,"Pima County, AZ","839,727","156,183","18.6"
4019,"Pima","AZ",2007,"Pima County, AZ","842,759","172,360","20.5"
4019,"Pima","AZ",2011,"Pima County, AZ","811,880","143,361","17.7"
4019,"Pima","AZ",2014,"Pima County, AZ","804,192","129,021","16.0"
4019,"Pima","AZ",2018,"Pima County, AZ","811,446","100,186","12.3"
4019,"Pima","AZ",2016,"Pima County, AZ","800,890","88,068","11.0"
4019,"Pima","AZ",2012,"Pima County, AZ","807,346","151,432","18.8"
4019,"Pima","AZ",2013,"Pima County, AZ","803,647","151,295","18.8"
4019,"Pima","AZ",2017,"Pima County, AZ","803,786","87,312","10.9"
4019,"Pima","AZ",2015,"Pima County, AZ","802,279","98,124","12.2"
4021,"Pinal","AZ",2008,"Pinal County, AZ","267,776","57,682","21.5"
4021,"Pinal","AZ",2007,"Pinal County, AZ","267,215","51,578","19.3"
4021,"Pinal","AZ",2014,"Pinal County, AZ","303,321","43,511","14.3"
4021,"Pinal","AZ",2019,"Pinal County, AZ","340,057","43,484","12.8"
4021,"Pinal","AZ",2017,"Pinal County, AZ","319,116","35,192","11.0"
4021,"Pinal","AZ",2006,"Pinal County, AZ","245,358","47,523","19.4"
4021,"Pinal","AZ",2016,"Pinal County, AZ","310,691","35,200","11.3"
4021,"Pinal","AZ",2010,"Pinal County, AZ","304,068","58,673","19.3"
4021,"Pinal","AZ",2012,"Pinal County, AZ","298,477","58,449","19.6"
4021,"Pinal","AZ",2009,"Pinal County, AZ","277,053","53,156","19.2"
4021,"Pinal","AZ",2011,"Pinal County, AZ","300,916","58,448","19.4"
4021,"Pinal","AZ",2018,"Pinal County, AZ","330,599","40,323","12.2"
4021,"Pinal","AZ",2020,"Pinal County, AZ","353,685","45,792","12.9"
4021,"Pinal","AZ",2015,"Pinal County, AZ","303,483","38,345","12.6"
4021,"Pinal","AZ",2013,"Pinal County, AZ","297,568","58,816","19.8"
4025,"Yavapai","AZ",2014,"Yavapai County, AZ","155,121","28,098","18.1"
4025,"Yavapai","AZ",2007,"Yavapai County, AZ","164,246","35,861","21.8"
4025,"Yavapai","AZ",2018,"Yavapai County, AZ","156,003","23,495","15.1"
4025,"Yavapai","AZ",2015,"Yavapai County, AZ","155,359","20,512","13.2"
4025,"Yavapai","AZ",2006,"Yavapai County, AZ","164,333","40,288","24.5"
4025,"Yavapai","AZ",2013,"Yavapai County, AZ","154,540","34,067","22.0"
4025,"Yavapai","AZ",2010,"Yavapai County, AZ","158,077","31,553","20.0"
4025,"Yavapai","AZ",2020,"Yavapai County, AZ","156,690","21,588","13.8"
4025,"Yavapai","AZ",2011,"Yavapai County, AZ","156,679","30,003","19.1"
4025,"Yavapai","AZ",2017,"Yavapai County, AZ","155,373","20,081","12.9"
4025,"Yavapai","AZ",2009,"Yavapai County, AZ","162,148","31,807","19.6"
4025,"Yavapai","AZ",2016,"Yavapai County, AZ","154,889","19,797","12.8"
4025,"Yavapai","AZ",2019,"Yavapai County, AZ","155,860","23,125","14.8"
4025,"Yavapai","AZ",2012,"Yavapai County, AZ","154,579","33,662","21.8"
4025,"Yavapai","AZ",2008,"Yavapai County, AZ","163,324","37,026","22.7"
4027,"Yuma","AZ",2015,"Yuma County, AZ","158,167","27,580","17.4"
4027,"Yuma","AZ",2012,"Yuma County, AZ","160,279","43,833","27.3"
4027,"Yuma","AZ",2013,"Yuma County, AZ","159,331","38,271","24.0"
4027,"Yuma","AZ",2018,"Yuma County, AZ","162,086","22,277","13.7"
4027,"Yuma","AZ",2010,"Yuma County, AZ","159,895","38,228","23.9"
4027,"Yuma","AZ",2017,"Yuma County, AZ","159,534","22,653","14.2"
4027,"Yuma","AZ",2011,"Yuma County, AZ","162,067","39,122","24.1"
4027,"Yuma","AZ",2016,"Yuma County, AZ","157,643","23,862","15.1"
4027,"Yuma","AZ",2006,"Yuma County, AZ","152,093","34,253","22.5"
4027,"Yuma","AZ",2008,"Yuma County, AZ","151,409","37,497","24.8"
4027,"Yuma","AZ",2020,"Yuma County, AZ","162,883","28,360","17.4"
4027,"Yuma","AZ",2007,"Yuma County, AZ","154,745","37,444","24.2"
4027,"Yuma","AZ",2014,"Yuma County, AZ","159,490","30,961","19.4"
4027,"Yuma","AZ",2019,"Yuma County, AZ","161,576","28,673","17.7"
4027,"Yuma","AZ",2009,"Yuma County, AZ","153,756","35,470","23.1"
5031,"Craighead","AR",2020,"Craighead County, AR","92,175","8,495","9.2"
5031,"Craighead","AR",2006,"Craighead County, AR","79,735","16,659","20.9"
5031,"Craighead","AR",2010,"Craighead County, AR","81,892","16,966","20.7"
5031,"Craighead","AR",2017,"Craighead County, AR","89,365","7,096","7.9"
5031,"Craighead","AR",2015,"Craighead County, AR","87,347","9,245","10.6"
5031,"Craighead","AR",2008,"Craighead County, AR","79,651","15,405","19.3"
5031,"Craighead","AR",2012,"Craighead County, AR","84,129","16,471","19.6"
5031,"Craighead","AR",2009,"Craighead County, AR","81,435","16,185","19.9"
5031,"Craighead","AR",2007,"Craighead County, AR","80,735","17,236","21.3"
5031,"Craighead","AR",2016,"Craighead County, AR","88,337","8,402","9.5"
5031,"Craighead","AR",2013,"Craighead County, AR","85,480","16,104","18.8"
5031,"Craighead","AR",2019,"Craighead County, AR","91,402","9,347","10.2"
5031,"Craighead","AR",2018,"Craighead County, AR","90,257","8,484","9.4"
5031,"Craighead","AR",2014,"Craighead County, AR","86,076","11,468","13.3"
5031,"Craighead","AR",2011,"Craighead County, AR","83,261","16,167","19.4"
5045,"Faulkner","AR",2018,"Faulkner County, AR","105,566","8,461","8.0"
5045,"Faulkner","AR",2009,"Faulkner County, AR","93,139","15,146","16.3"
5045,"Faulkner","AR",2020,"Faulkner County, AR","106,216","8,994","8.5"
5045,"Faulkner","AR",2015,"Faulkner County, AR","103,544","9,253","8.9"
5045,"Faulkner","AR",2007,"Faulkner County, AR","93,036","19,203","20.6"
5045,"Faulkner","AR",2010,"Faulkner County, AR","98,791","17,647","17.9"
5045,"Faulkner","AR",2011,"Faulkner County, AR","100,629","17,341","17.2"
5045,"Faulkner","AR",2006,"Faulkner County, AR","91,470","19,582","21.4"
5045,"Faulkner","AR",2013,"Faulkner County, AR","102,376","16,150","15.8"
5045,"Faulkner","AR",2019,"Faulkner County, AR","105,873","9,860","9.3"
5045,"Faulkner","AR",2017,"Faulkner County, AR","105,014","8,380","8.0"
5045,"Faulkner","AR",2014,"Faulkner County, AR","103,199","12,870","12.5"
5045,"Faulkner","AR",2008,"Faulkner County, AR","91,008","15,226","16.7"
5045,"Faulkner","AR",2012,"Faulkner County, AR","102,111","17,010","16.7"
5045,"Faulkner","AR",2016,"Faulkner County, AR","104,046","8,558","8.2"
5051,"Garland","AR",2014,"Garland County, AR","75,136","11,458","15.2"
5051,"Garland","AR",2011,"Garland County, AR","75,506","17,348","23.0"
5051,"Garland","AR",2017,"Garland County, AR","73,966","7,267","9.8"
5051,"Garland","AR",2015,"Garland County, AR","74,595","9,611","12.9"
5051,"Garland","AR",2007,"Garland County, AR","76,252","16,611","21.8"
5051,"Garland","AR",2006,"Garland County, AR","76,053","16,455","21.6"
5051,"Garland","AR",2009,"Garland County, AR","75,648","16,138","21.3"
5051,"Garland","AR",2016,"Garland County, AR","74,431","7,596","10.2"
5051,"Garland","AR",2020,"Garland County, AR","73,410","7,524","10.2"
5051,"Garland","AR",2012,"Garland County, AR","75,065","16,045","21.4"
5051,"Garland","AR",2010,"Garland County, AR","74,774","17,327","23.2"
5051,"Garland","AR",2018,"Garland County, AR","74,292","7,697","10.4"
5051,"Garland","AR",2008,"Garland County, AR","75,303","17,114","22.7"
5051,"Garland","AR",2019,"Garland County, AR","73,932","8,848","12.0"
5051,"Garland","AR",2013,"Garland County, AR","75,430","16,084","21.3"
5069,"Jefferson","AR",2013,"Jefferson County, AR","58,121","9,000","15.5"
5069,"Jefferson","AR",2007,"Jefferson County, AR","63,527","10,668","16.8"
5069,"Jefferson","AR",2009,"Jefferson County, AR","62,255","11,643","18.7"
5069,"Jefferson","AR",2016,"Jefferson County, AR","53,376","4,002","7.5"
5069,"Jefferson","AR",2012,"Jefferson County, AR","59,385","9,772","16.5"
5069,"Jefferson","AR",2008,"Jefferson County, AR","62,921","12,253","19.5"
5069,"Jefferson","AR",2011,"Jefferson County, AR","60,521","10,200","16.9"
5069,"Jefferson","AR",2019,"Jefferson County, AR","49,092","3,927","8.0"
5069,"Jefferson","AR",2017,"Jefferson County, AR","51,973","3,760","7.2"
5069,"Jefferson","AR",2010,"Jefferson County, AR","61,816","10,842","17.5"
5069,"Jefferson","AR",2020,"Jefferson County, AR","46,258","3,627","7.8"
5069,"Jefferson","AR",2018,"Jefferson County, AR","50,728","3,913","7.7"
5069,"Jefferson","AR",2015,"Jefferson County, AR","55,561","4,920","8.9"
5069,"Jefferson","AR",2014,"Jefferson County, AR","56,817","6,387","11.2"
5069,"Jefferson","AR",2006,"Jefferson County, AR","64,477","9,922","15.4"
5119,"Pulaski","AR",2019,"Pulaski County, AR","321,348","31,959","9.9"
5119,"Pulaski","AR",2020,"Pulaski County, AR","316,407","31,894","10.1"
5119,"Pulaski","AR",2010,"Pulaski County, AR","331,804","60,673","18.3"
5119,"Pulaski","AR",2012,"Pulaski County, AR","332,388","55,924","16.8"
5119,"Pulaski","AR",2011,"Pulaski County, AR","332,497","60,975","18.3"
5119,"Pulaski","AR",2013,"Pulaski County, AR","333,570","56,962","17.1"
5119,"Pulaski","AR",2018,"Pulaski County, AR","324,367","27,061","8.3"
5119,"Pulaski","AR",2017,"Pulaski County, AR","327,751","25,097","7.7"
5119,"Pulaski","AR",2008,"Pulaski County, AR","323,021","50,847","15.7"
5119,"Pulaski","AR",2014,"Pulaski County, AR","332,870","42,041","12.6"
5119,"Pulaski","AR",2006,"Pulaski County, AR","327,254","54,721","16.7"
5119,"Pulaski","AR",2007,"Pulaski County, AR","327,519","55,873","17.1"
5119,"Pulaski","AR",2015,"Pulaski County, AR","330,802","33,094","10.0"
5119,"Pulaski","AR",2009,"Pulaski County, AR","326,691","52,488","16.1"
5119,"Pulaski","AR",2016,"Pulaski County, AR","329,461","26,186","7.9"
5131,"Sebastian","AR",2014,"Sebastian County, AR","106,552","16,822","15.8"
5131,"Sebastian","AR",2007,"Sebastian County, AR","106,327","21,466","20.2"
5131,"Sebastian","AR",2018,"Sebastian County, AR","105,470","13,952","13.2"
5131,"Sebastian","AR",2006,"Sebastian County, AR","106,618","21,477","20.1"
5131,"Sebastian","AR",2017,"Sebastian County, AR","106,235","13,661","12.9"
5131,"Sebastian","AR",2019,"Sebastian County, AR","104,983","14,914","14.2"
5131,"Sebastian","AR",2015,"Sebastian County, AR","107,036","13,915","13.0"
5131,"Sebastian","AR",2008,"Sebastian County, AR","105,259","21,969","20.9"
5131,"Sebastian","AR",2020,"Sebastian County, AR","104,222","13,374","12.8"
5131,"Sebastian","AR",2013,"Sebastian County, AR","107,634","22,719","21.1"
5131,"Sebastian","AR",2011,"Sebastian County, AR","108,609","25,112","23.1"
5131,"Sebastian","AR",2010,"Sebastian County, AR","107,458","25,565","23.8"
5131,"Sebastian","AR",2016,"Sebastian County, AR","106,392","12,637","11.9"
5131,"Sebastian","AR",2009,"Sebastian County, AR","106,409","23,334","21.9"
5131,"Sebastian","AR",2012,"Sebastian County, AR","108,137","23,976","22.2"
5143,"Washington","AR",2007,"Washington County, AR","173,571","44,758","25.8"
5143,"Washington","AR",2018,"Washington County, AR","201,754","25,090","12.4"
5143,"Washington","AR",2015,"Washington County, AR","192,967","25,891","13.4"
5143,"Washington","AR",2012,"Washington County, AR","182,451","37,969","20.8"
5143,"Washington","AR",2010,"Washington County, AR","177,074","41,210","23.3"
5143,"Washington","AR",2011,"Washington County, AR","179,661","41,799","23.3"
5143,"Washington","AR",2006,"Washington County, AR","174,693","46,039","26.4"
5143,"Washington","AR",2017,"Washington County, AR","197,952","24,582","12.4"
5143,"Washington","AR",2013,"Washington County, AR","185,992","38,623","20.8"
5143,"Washington","AR",2014,"Washington County, AR","189,550","31,959","16.9"
5143,"Washington","AR",2020,"Washington County, AR","206,748","26,994","13.1"
5143,"Washington","AR",2016,"Washington County, AR","194,960","23,998","12.3"
5143,"Washington","AR",2019,"Washington County, AR","202,715","28,563","14.1"
5143,"Washington","AR",2008,"Washington County, AR","170,930","36,669","21.5"
5143,"Washington","AR",2009,"Washington County, AR","173,870","36,541","21.0"
6001,"Alameda","CA",2016,"Alameda County, CA","1,413,330","74,359","5.3"
6001,"Alameda","CA",2012,"Alameda County, CA","1,350,205","199,060","14.7"
6001,"Alameda","CA",2011,"Alameda County, CA","1,330,411","197,333","14.8"
6001,"Alameda","CA",2018,"Alameda County, CA","1,422,779","70,837","5.0"
6001,"Alameda","CA",2019,"Alameda County, CA","1,419,404","72,422","5.1"
6001,"Alameda","CA",2020,"Alameda County, CA","1,439,179","70,851","4.9"
6001,"Alameda","CA",2013,"Alameda County, CA","1,356,907","195,952","14.4"
6001,"Alameda","CA",2010,"Alameda County, CA","1,322,865","199,327","15.1"
6001,"Alameda","CA",2006,"Alameda County, CA","1,287,699","208,082","16.2"
6001,"Alameda","CA",2014,"Alameda County, CA","1,382,408","132,685","9.6"
6001,"Alameda","CA",2017,"Alameda County, CA","1,423,153","82,298","5.8"
6001,"Alameda","CA",2015,"Alameda County, CA","1,403,423","84,805","6.0"
6001,"Alameda","CA",2008,"Alameda County, CA","1,310,473","173,312","13.2"
6001,"Alameda","CA",2007,"Alameda County, CA","1,302,459","187,591","14.4"
6001,"Alameda","CA",2009,"Alameda County, CA","1,327,221","194,799","14.7"
6007,"Butte","CA",2018,"Butte County, CA","184,283","14,119","7.7"
6007,"Butte","CA",2012,"Butte County, CA","183,123","35,365","19.3"
6007,"Butte","CA",2014,"Butte County, CA","182,896","23,914","13.1"
6007,"Butte","CA",2016,"Butte County, CA","182,304","12,937","7.1"
6007,"Butte","CA",2019,"Butte County, CA","174,913","13,710","7.8"
