"","county_fips","county","state","start.year","end.year","stroke","age"
"81",1015,"Calhoun","Alabama",2009,2011,"31.60","45-64"
"82",1015,"Calhoun","Alabama",2005,2007,"42.60","45-64"
"83",1015,"Calhoun","Alabama",2010,2012,"266.00",">= 65"
"84",1015,"Calhoun","Alabama",2007,2009,"38.00","45-64"
"85",1015,"Calhoun","Alabama",2008,2010,"35.20","45-64"
"86",1015,"Calhoun","Alabama",2017,2019,"360.10",">= 65"
"87",1015,"Calhoun","Alabama",2011,2013,"276.10",">= 65"
"88",1015,"Calhoun","Alabama",2016,2018,"355.70",">= 65"
"89",1015,"Calhoun","Alabama",2009,2011,"318.20",">= 65"
"90",1015,"Calhoun","Alabama",2006,2008,"307.70",">= 65"
"91",1015,"Calhoun","Alabama",2013,2015,"307.50",">= 65"
"92",1015,"Calhoun","Alabama",2007,2009,"301.80",">= 65"
"93",1015,"Calhoun","Alabama",2006,2008,"41.60","45-64"
"94",1015,"Calhoun","Alabama",2014,2016,"272.10",">= 65"
"95",1015,"Calhoun","Alabama",2005,2007,"317.90",">= 65"
"96",1015,"Calhoun","Alabama",2012,2014,"272.20",">= 65"
"97",1015,"Calhoun","Alabama",2014,2016,"33.40","45-64"
"98",1015,"Calhoun","Alabama",2015,2017,"29.80","45-64"
"99",1015,"Calhoun","Alabama",2016,2018,"28.90","45-64"
"100",1015,"Calhoun","Alabama",2015,2017,"302.50",">= 65"
"101",1015,"Calhoun","Alabama",2013,2015,"35.10","45-64"
"102",1015,"Calhoun","Alabama",2011,2013,"33.90","45-64"
"103",1015,"Calhoun","Alabama",2012,2014,"35.90","45-64"
"104",1015,"Calhoun","Alabama",2017,2019,"28.30","45-64"
"105",1055,"Etowah","Alabama",2012,2014,"32.10","45-64"
"106",1055,"Etowah","Alabama",2005,2007,"436.90",">= 65"
"107",1055,"Etowah","Alabama",2011,2013,"28.80","45-64"
"108",1055,"Etowah","Alabama",2006,2008,"41.00","45-64"
"109",1055,"Etowah","Alabama",2008,2010,"384.30",">= 65"
"110",1055,"Etowah","Alabama",2007,2009,"371.70",">= 65"
"111",1055,"Etowah","Alabama",2016,2018,"305.10",">= 65"
"112",1055,"Etowah","Alabama",2010,2012,"340.50",">= 65"
"113",1055,"Etowah","Alabama",2011,2013,"305.00",">= 65"
"114",1055,"Etowah","Alabama",2008,2010,"33.80","45-64"
"115",1055,"Etowah","Alabama",2007,2009,"33.80","45-64"
"116",1055,"Etowah","Alabama",2014,2016,"304.70",">= 65"
"117",1055,"Etowah","Alabama",2013,2015,"35.90","45-64"
"118",1055,"Etowah","Alabama",2009,2011,"28.30","45-64"
"119",1055,"Etowah","Alabama",2017,2019,"321.20",">= 65"
"120",1055,"Etowah","Alabama",2015,2017,"33.50","45-64"
"121",1055,"Etowah","Alabama",2016,2018,"28.50","45-64"
"122",1055,"Etowah","Alabama",2014,2016,"32.10","45-64"
"123",1055,"Etowah","Alabama",2009,2011,"347.60",">= 65"
"124",1055,"Etowah","Alabama",2013,2015,"317.30",">= 65"
"125",1055,"Etowah","Alabama",2012,2014,"303.90",">= 65"
"126",1055,"Etowah","Alabama",2010,2012,"29.00","45-64"
"127",1055,"Etowah","Alabama",2017,2019,"25.40","45-64"
"128",1055,"Etowah","Alabama",2015,2017,"321.10",">= 65"
"129",1055,"Etowah","Alabama",2006,2008,"397.50",">= 65"
"130",1055,"Etowah","Alabama",2005,2007,"42.50","45-64"
"131",1055,"Etowah","Alabama",2012,2014,"32.10","45-64"
"132",1055,"Etowah","Alabama",2005,2007,"436.90",">= 65"
"133",1055,"Etowah","Alabama",2011,2013,"28.80","45-64"
"134",1055,"Etowah","Alabama",2006,2008,"41.00","45-64"
"135",1055,"Etowah","Alabama",2008,2010,"384.30",">= 65"
"136",1055,"Etowah","Alabama",2007,2009,"371.70",">= 65"
"137",1055,"Etowah","Alabama",2016,2018,"305.10",">= 65"
"138",1055,"Etowah","Alabama",2010,2012,"340.50",">= 65"
"139",1055,"Etowah","Alabama",2011,2013,"305.00",">= 65"
"140",1055,"Etowah","Alabama",2008,2010,"33.80","45-64"
"141",1055,"Etowah","Alabama",2007,2009,"33.80","45-64"
"142",1055,"Etowah","Alabama",2014,2016,"304.70",">= 65"
"143",1055,"Etowah","Alabama",2013,2015,"35.90","45-64"
"144",1055,"Etowah","Alabama",2009,2011,"28.30","45-64"
"145",1055,"Etowah","Alabama",2017,2019,"321.20",">= 65"
"146",1055,"Etowah","Alabama",2015,2017,"33.50","45-64"
"147",1055,"Etowah","Alabama",2016,2018,"28.50","45-64"
"148",1055,"Etowah","Alabama",2014,2016,"32.10","45-64"
"149",1055,"Etowah","Alabama",2009,2011,"347.60",">= 65"
"150",1055,"Etowah","Alabama",2013,2015,"317.30",">= 65"
"151",1055,"Etowah","Alabama",2012,2014,"303.90",">= 65"
"152",1055,"Etowah","Alabama",2010,2012,"29.00","45-64"
"153",1055,"Etowah","Alabama",2017,2019,"25.40","45-64"
"154",1055,"Etowah","Alabama",2015,2017,"321.10",">= 65"
"155",1055,"Etowah","Alabama",2006,2008,"397.50",">= 65"
"156",1055,"Etowah","Alabama",2005,2007,"42.50","45-64"
"157",1069,"Houston","Alabama",2017,2019,"29.10","45-64"
"158",1069,"Houston","Alabama",2016,2018,"269.00",">= 65"
"159",1069,"Houston","Alabama",2016,2018,"32.70","45-64"
"160",1069,"Houston","Alabama",2015,2017,"279.60",">= 65"
"161",1069,"Houston","Alabama",2013,2015,"246.20",">= 65"
"162",1069,"Houston","Alabama",2011,2013,"281.40",">= 65"
"163",1069,"Houston","Alabama",2006,2008,"355.20",">= 65"
"164",1069,"Houston","Alabama",2007,2009,"356.70",">= 65"
"165",1069,"Houston","Alabama",2009,2011,"28.90","45-64"
"166",1069,"Houston","Alabama",2014,2016,"261.20",">= 65"
"167",1069,"Houston","Alabama",2012,2014,"257.60",">= 65"
"168",1069,"Houston","Alabama",2013,2015,"26.20","45-64"
"169",1069,"Houston","Alabama",2007,2009,"31.00","45-64"
"170",1069,"Houston","Alabama",2017,2019,"246.10",">= 65"
"171",1069,"Houston","Alabama",2005,2007,"26.00","45-64"
"172",1069,"Houston","Alabama",2015,2017,"31.90","45-64"
"173",1069,"Houston","Alabama",2005,2007,"327.20",">= 65"
"174",1069,"Houston","Alabama",2010,2012,"25.60","45-64"
"175",1069,"Houston","Alabama",2011,2013,"23.80","45-64"
"176",1069,"Houston","Alabama",2009,2011,"324.60",">= 65"
"177",1069,"Houston","Alabama",2010,2012,"302.70",">= 65"
