"county_fips","county","state","year","asthma"
9009,"New Haven","Connecticut",2018,11.2
9009,"New Haven","Connecticut",2019,10.6
9011,"New London","Connecticut",2018,10.1
9011,"New London","Connecticut",2019,10
10001,"Kent","Delaware",2019,11.2
10001,"Kent","Delaware",2018,10.6
11001,"District of Columbia","District of Columbia",2018,10.7
11001,"District of Columbia","District of Columbia",2019,10.1
12001,"Alachua","Florida",2019,9.1
12001,"Alachua","Florida",2018,9
12005,"Bay","Florida",2018,9.2
12005,"Bay","Florida",2019,8.9
12009,"Brevard","Florida",2019,8.3
12009,"Brevard","Florida",2018,8.9
12017,"Citrus","Florida",2018,9.4
12017,"Citrus","Florida",2019,9.2
12031,"Duval","Florida",2019,9.1
12031,"Duval","Florida",2018,9.5
12033,"Escambia","Florida",2018,9.2
12033,"Escambia","Florida",2019,9.3
12035,"Flagler","Florida",2019,8.5
12035,"Flagler","Florida",2018,8.9
12053,"Hernando","Florida",2019,8.6
12053,"Hernando","Florida",2018,9.1
12055,"Highlands","Florida",2019,8.6
12055,"Highlands","Florida",2018,9.3
12057,"Hillsborough","Florida",2019,8.1
12057,"Hillsborough","Florida",2018,8.5
12061,"Indian River","Florida",2019,8.4
12061,"Indian River","Florida",2018,8.8
12069,"Lake","Florida",2018,8.9
12069,"Lake","Florida",2019,8.3
12071,"Lee","Florida",2018,8.6
12071,"Lee","Florida",2019,8.3
12073,"Leon","Florida",2019,9.1
12073,"Leon","Florida",2018,9
12083,"Marion","Florida",2018,9.4
12083,"Marion","Florida",2019,9
12086,"Miami-Dade","Florida",2018,7.9
12086,"Miami-Dade","Florida",2019,7.7
12091,"Okaloosa","Florida",2019,8.6
12091,"Okaloosa","Florida",2018,8.7
12095,"Orange","Florida",2018,8.8
12095,"Orange","Florida",2019,8.3
12097,"Osceola","Florida",2019,8.1
12097,"Osceola","Florida",2018,8.2
12101,"Pasco","Florida",2018,8.8
12101,"Pasco","Florida",2019,8.4
12105,"Polk","Florida",2019,9
12105,"Polk","Florida",2018,9.1
12109,"St. Johns","Florida",2018,8.3
12109,"St. Johns","Florida",2019,8.3
12111,"St. Lucie","Florida",2018,9.1
12111,"St. Lucie","Florida",2019,8.4
12115,"Sarasota","Florida",2018,8.4
12115,"Sarasota","Florida",2019,8
12127,"Volusia","Florida",2018,8.8
12127,"Volusia","Florida",2019,8.3
13015,"Bartow","Georgia",2019,9.3
13015,"Bartow","Georgia",2018,9.5
13021,"Bibb","Georgia",2019,10.5
13021,"Bibb","Georgia",2018,10.8
13051,"Chatham","Georgia",2018,9.6
13051,"Chatham","Georgia",2019,9.3
13059,"Clarke","Georgia",2019,9.7
13059,"Clarke","Georgia",2018,10
13095,"Dougherty","Georgia",2019,11.2
13095,"Dougherty","Georgia",2018,11.4
13115,"Floyd","Georgia",2018,9.8
13115,"Floyd","Georgia",2019,9.4
13121,"Fulton","Georgia",2018,8.7
13121,"Fulton","Georgia",2019,8.5
13127,"Glynn","Georgia",2018,9.7
13127,"Glynn","Georgia",2019,9.5
13139,"Hall","Georgia",2019,8.4
13139,"Hall","Georgia",2018,9.1
13153,"Houston","Georgia",2018,9.6
13153,"Houston","Georgia",2019,9.5
13179,"Liberty","Georgia",2018,9.9
13179,"Liberty","Georgia",2019,9.9
13185,"Lowndes","Georgia",2019,10.3
13185,"Lowndes","Georgia",2018,10.3
13215,"Muscogee","Georgia",2018,9.9
13215,"Muscogee","Georgia",2019,9.8
13245,"Richmond","Georgia",2019,10.4
13245,"Richmond","Georgia",2018,10.6
13313,"Whitfield","Georgia",2019,8.6
13313,"Whitfield","Georgia",2018,9.5
15009,"Maui","Hawaii",2018,9.5
15009,"Maui","Hawaii",2019,8.8
16005,"Bannock","Idaho",2018,9.7
16005,"Bannock","Idaho",2019,9.7
16019,"Bonneville","Idaho",2019,9.3
16019,"Bonneville","Idaho",2018,9.4
16027,"Canyon","Idaho",2018,9.9
16027,"Canyon","Idaho",2019,10.3
16055,"Kootenai","Idaho",2019,10.1
16055,"Kootenai","Idaho",2018,9.6
16069,"Nez Perce","Idaho",2019,10.4
16069,"Nez Perce","Idaho",2018,10.2
17019,"Champaign","Illinois",2019,9.2
17019,"Champaign","Illinois",2018,9.4
17031,"Cook","Illinois",2018,9.4
17031,"Cook","Illinois",2019,8.6
17037,"DeKalb","Illinois",2018,9.7
17037,"DeKalb","Illinois",2019,9.2
17077,"Jackson","Illinois",2019,9.8
17077,"Jackson","Illinois",2018,10.4
17091,"Kankakee","Illinois",2018,10.3
17091,"Kankakee","Illinois",2019,9.4
17097,"Lake","Illinois",2019,8.1
17097,"Lake","Illinois",2018,8.4
17113,"McLean","Illinois",2019,8.7
17113,"McLean","Illinois",2018,9.3
17115,"Macon","Illinois",2019,10.1
17115,"Macon","Illinois",2018,10.3
17119,"Madison","Illinois",2018,9.8
17119,"Madison","Illinois",2019,9.3
17143,"Peoria","Illinois",2019,9.6
17143,"Peoria","Illinois",2018,10.1
17167,"Sangamon","Illinois",2019,9.6
17167,"Sangamon","Illinois",2018,9.9
17183,"Vermilion","Illinois",2019,9.8
17183,"Vermilion","Illinois",2018,10.4
17201,"Winnebago","Illinois",2019,9.4
17201,"Winnebago","Illinois",2018,10
18003,"Allen","Indiana",2019,9.7
18003,"Allen","Indiana",2018,10.3
18005,"Bartholomew","Indiana",2018,9.5
18005,"Bartholomew","Indiana",2019,9.1
18035,"Delaware","Indiana",2018,10.7
18035,"Delaware","Indiana",2019,10.7
18039,"Elkhart","Indiana",2018,10.3
18039,"Elkhart","Indiana",2019,9.8
18067,"Howard","Indiana",2019,10.2
18067,"Howard","Indiana",2018,10.6
18091,"LaPorte","Indiana",2018,10.4
18091,"LaPorte","Indiana",2019,10.3
18095,"Madison","Indiana",2018,11
18095,"Madison","Indiana",2019,11.2
18097,"Marion","Indiana",2019,10
18097,"Marion","Indiana",2018,10.9
18105,"Monroe","Indiana",2019,9.7
18105,"Monroe","Indiana",2018,9.8
18141,"St. Joseph","Indiana",2019,9.7
18141,"St. Joseph","Indiana",2018,10.6
18157,"Tippecanoe","Indiana",2018,9.8
18157,"Tippecanoe","Indiana",2019,9.5
18163,"Vanderburgh","Indiana",2018,10.3
18163,"Vanderburgh","Indiana",2019,10.3
18167,"Vigo","Indiana",2019,10
18167,"Vigo","Indiana",2018,10.4
19013,"Black Hawk","Iowa",2019,8.9
19013,"Black Hawk","Iowa",2018,8.9
19061,"Dubuque","Iowa",2018,8.4
19061,"Dubuque","Iowa",2019,8.4
19103,"Johnson","Iowa",2018,8.5
19103,"Johnson","Iowa",2019,7.9
19113,"Linn","Iowa",2018,8.8
19113,"Linn","Iowa",2019,8.2
19153,"Polk","Iowa",2019,8
19153,"Polk","Iowa",2018,8.1
19163,"Scott","Iowa",2018,9
19163,"Scott","Iowa",2019,8.7
19169,"Story","Iowa",2018,8.4
19169,"Story","Iowa",2019,7.9
19193,"Woodbury","Iowa",2018,8.8
19193,"Woodbury","Iowa",2019,8.2
20045,"Douglas","Kansas",2018,9.8
20045,"Douglas","Kansas",2019,9.6
20161,"Riley","Kansas",2018,9.8
20161,"Riley","Kansas",2019,9.2
20173,"Sedgwick","Kansas",2018,9.9
20173,"Sedgwick","Kansas",2019,9.7
20177,"Shawnee","Kansas",2018,9.9
20177,"Shawnee","Kansas",2019,9.7
21059,"Daviess","Kentucky",2019,9.8
21059,"Daviess","Kentucky",2018,10.3
21067,"Fayette","Kentucky",2019,9.4
21067,"Fayette","Kentucky",2018,10.4
21093,"Hardin","Kentucky",2019,9.8
21093,"Hardin","Kentucky",2018,10.6
21111,"Jefferson","Kentucky",2018,10.6
21111,"Jefferson","Kentucky",2019,9.7
21227,"Warren","Kentucky",2019,9.6
21227,"Warren","Kentucky",2018,10.6
22017,"Caddo","Louisiana",2019,10.4
22017,"Caddo","Louisiana",2018,10.4
22019,"Calcasieu","Louisiana",2018,9.5
22019,"Calcasieu","Louisiana",2019,9.8
22033,"East Baton Rouge","Louisiana",2018,9.1
22033,"East Baton Rouge","Louisiana",2019,9
22055,"Lafayette","Louisiana",2018,9.2
22055,"Lafayette","Louisiana",2019,9.2
22071,"Orleans","Louisiana",2019,9.6
22071,"Orleans","Louisiana",2018,9.7
22073,"Ouachita","Louisiana",2019,10.1
22073,"Ouachita","Louisiana",2018,9.9
22079,"Rapides","Louisiana",2018,9.9
22079,"Rapides","Louisiana",2019,9.9
22103,"St. Tammany","Louisiana",2018,8.8
22103,"St. Tammany","Louisiana",2019,8.6
22105,"Tangipahoa","Louisiana",2019,10.1
22105,"Tangipahoa","Louisiana",2018,10
22109,"Terrebonne","Louisiana",2018,10.1
22109,"Terrebonne","Louisiana",2019,9.9
23001,"Androscoggin","Maine",2018,11.6
23001,"Androscoggin","Maine",2019,10.5
23005,"Cumberland","Maine",2018,10.4
23005,"Cumberland","Maine",2019,10.7
23019,"Penobscot","Maine",2018,12.1
23019,"Penobscot","Maine",2019,11.7
24001,"Allegany","Maryland",2018,10.5
24001,"Allegany","Maryland",2019,9.7
24013,"Carroll","Maryland",2018,8.9
24013,"Carroll","Maryland",2019,8.5
24017,"Charles","Maryland",2018,10.1
24017,"Charles","Maryland",2019,9.8
24021,"Frederick","Maryland",2018,8.4
24021,"Frederick","Maryland",2019,8.6
24025,"Harford","Maryland",2019,8.8
24025,"Harford","Maryland",2018,9.4
24037,"St. Mary's","Maryland",2019,9
24037,"St. Mary's","Maryland",2018,9.2
24043,"Washington","Maryland",2019,10.1
24043,"Washington","Maryland",2018,10.8
24045,"Wicomico","Maryland",2018,10.3
24045,"Wicomico","Maryland",2019,10.2
24510,"Baltimore","Maryland",2019,11.8
24510,"Baltimore","Maryland",2018,11.3
25003,"Berkshire","Massachusetts",2018,10.6
25003,"Berkshire","Massachusetts",2019,10.3
25005,"Bristol","Massachusetts",2019,10.5
25005,"Bristol","Massachusetts",2018,11.3
25013,"Hampden","Massachusetts",2019,10.6
25013,"Hampden","Massachusetts",2018,11.3
25025,"Suffolk","Massachusetts",2018,10.8
25025,"Suffolk","Massachusetts",2019,10.3
25027,"Worcester","Massachusetts",2018,10.1
25027,"Worcester","Massachusetts",2019,10.4
26017,"Bay","Michigan",2018,10.8
26017,"Bay","Michigan",2019,10.9
26021,"Berrien","Michigan",2018,10.8
26021,"Berrien","Michigan",2019,10.8
26025,"Calhoun","Michigan",2019,11.1
26025,"Calhoun","Michigan",2018,10.8
26049,"Genesee","Michigan",2018,11.6
26049,"Genesee","Michigan",2019,11.9
26065,"Ingham","Michigan",2018,10.4
26065,"Ingham","Michigan",2019,11
26075,"Jackson","Michigan",2019,11.1
26075,"Jackson","Michigan",2018,10.9
26077,"Kalamazoo","Michigan",2019,10.8
26077,"Kalamazoo","Michigan",2018,10.5
26081,"Kent","Michigan",2019,10.1
26081,"Kent","Michigan",2018,10.3
26111,"Midland","Michigan",2019,10.2
26111,"Midland","Michigan",2018,10.2
26115,"Monroe","Michigan",2018,10.4
26115,"Monroe","Michigan",2019,10.7
26121,"Muskegon","Michigan",2018,10.8
26121,"Muskegon","Michigan",2019,11.3
26125,"Oakland","Michigan",2019,9.8
26125,"Oakland","Michigan",2018,9.6
26139,"Ottawa","Michigan",2019,10.1
