"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Jun., 2011"	"2011/06"	26	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Jul., 2011"	"2011/07"	22	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	18	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Sep., 2011"	"2011/09"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Oct., 2011"	"2011/10"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Nov., 2011"	"2011/11"	10	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Dec., 2011"	"2011/12"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	22	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Feb., 2012"	"2012/02"	28	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Mar., 2012"	"2012/03"	27	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Apr., 2012"	"2012/04"	24	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"May, 2012"	"2012/05"	15	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Jun., 2012"	"2012/06"	20	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Jul., 2012"	"2012/07"	23	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Aug., 2012"	"2012/08"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Sep., 2012"	"2012/09"	19	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Oct., 2012"	"2012/10"	27	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Nov., 2012"	"2012/11"	18	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	33	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jan., 2010"	"2010/01"	31	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Feb., 2010"	"2010/02"	35	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Mar., 2010"	"2010/03"	31	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Apr., 2010"	"2010/04"	35	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	41	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jun., 2010"	"2010/06"	31	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jul., 2010"	"2010/07"	27	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Aug., 2010"	"2010/08"	26	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Sep., 2010"	"2010/09"	26	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Oct., 2010"	"2010/10"	28	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Nov., 2010"	"2010/11"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	31	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jan., 2011"	"2011/01"	47	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Feb., 2011"	"2011/02"	31	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Mar., 2011"	"2011/03"	43	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Apr., 2011"	"2011/04"	24	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"May, 2011"	"2011/05"	25	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jun., 2011"	"2011/06"	38	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jul., 2011"	"2011/07"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Aug., 2011"	"2011/08"	31	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Sep., 2011"	"2011/09"	37	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Oct., 2011"	"2011/10"	31	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Nov., 2011"	"2011/11"	27	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Dec., 2011"	"2011/12"	26	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jan., 2012"	"2012/01"	33	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Feb., 2012"	"2012/02"	39	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Mar., 2012"	"2012/03"	29	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Apr., 2012"	"2012/04"	28	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"May, 2012"	"2012/05"	35	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jun., 2012"	"2012/06"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Aug., 2012"	"2012/08"	33	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Sep., 2012"	"2012/09"	32	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Oct., 2012"	"2012/10"	26	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Nov., 2012"	"2012/11"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	35	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	37	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Feb., 2010"	"2010/02"	32	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	41	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Apr., 2010"	"2010/04"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"May, 2010"	"2010/05"	35	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jun., 2010"	"2010/06"	24	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	24	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Aug., 2010"	"2010/08"	48	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Sep., 2010"	"2010/09"	35	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	33	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	33	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	50	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jan., 2011"	"2011/01"	47	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	41	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Mar., 2011"	"2011/03"	29	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	43	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"May, 2011"	"2011/05"	44	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jun., 2011"	"2011/06"	34	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	44	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Aug., 2011"	"2011/08"	43	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Sep., 2011"	"2011/09"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	30	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Nov., 2011"	"2011/11"	27	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Dec., 2011"	"2011/12"	40	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	53	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	42	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	38	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Apr., 2012"	"2012/04"	44	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"May, 2012"	"2012/05"	38	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jun., 2012"	"2012/06"	36	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Jul., 2012"	"2012/07"	30	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Aug., 2012"	"2012/08"	42	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Sep., 2012"	"2012/09"	34	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Oct., 2012"	"2012/10"	51	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	49	Not Applicable	Not Applicable
	"Alamance County, NC"	"37001"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	44	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"65-74 years"	"65-74"	"Sep., 2011"	"2011/09"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"65-74 years"	"65-74"	"Jan., 2012"	"2012/01"	12	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"65-74 years"	"65-74"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"May, 2010"	"2010/05"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Oct., 2011"	"2011/10"	13	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Dec., 2011"	"2011/12"	13	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Feb., 2012"	"2012/02"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Nov., 2012"	"2012/11"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"75-84 years"	"75-84"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"85+ years"	"85+"	"Sep., 2010"	"2010/09"	11	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"85+ years"	"85+"	"Feb., 2011"	"2011/02"	10	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"85+ years"	"85+"	"May, 2011"	"2011/05"	10	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"85+ years"	"85+"	"Feb., 2012"	"2012/02"	12	Not Applicable	Not Applicable
	"Alexander County, NC"	"37003"	"85+ years"	"85+"	"Nov., 2012"	"2012/11"	10	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"65-74 years"	"65-74"	"Dec., 2012"	"2012/12"	10	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"85+ years"	"85+"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"85+ years"	"85+"	"Jul., 2010"	"2010/07"	11	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"85+ years"	"85+"	"Aug., 2010"	"2010/08"	10	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"85+ years"	"85+"	"Nov., 2010"	"2010/11"	10	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"85+ years"	"85+"	"Dec., 2010"	"2010/12"	15	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	13	Not Applicable	Not Applicable
	"Anson County, NC"	"37007"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	10	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"65-74 years"	"65-74"	"Aug., 2011"	"2011/08"	10	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"65-74 years"	"65-74"	"Dec., 2011"	"2011/12"	10	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"75-84 years"	"75-84"	"Feb., 2011"	"2011/02"	11	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"75-84 years"	"75-84"	"Mar., 2011"	"2011/03"	10	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"75-84 years"	"75-84"	"Jul., 2011"	"2011/07"	10	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"75-84 years"	"75-84"	"May, 2012"	"2012/05"	11	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"75-84 years"	"75-84"	"Jul., 2012"	"2012/07"	13	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Oct., 2010"	"2010/10"	12	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Jul., 2011"	"2011/07"	11	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Oct., 2011"	"2011/10"	14	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Mar., 2012"	"2012/03"	12	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Apr., 2012"	"2012/04"	15	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Jul., 2012"	"2012/07"	11	Not Applicable	Not Applicable
	"Ashe County, NC"	"37009"	"85+ years"	"85+"	"Dec., 2012"	"2012/12"	14	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"55-64 years"	"55-64"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"55-64 years"	"55-64"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"55-64 years"	"55-64"	"Jun., 2011"	"2011/06"	10	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"55-64 years"	"55-64"	"Jul., 2011"	"2011/07"	13	Not Applicable	Not Applicable
	"Beaufort County, NC"	"37013"	"55-64 years"	"55-64"	"Oct., 2011"	"2011/10"	10	Not Applicable	Not Applicable
